,Cav. Cap.,,,,
Date,Start Balance,Gain / Loss,End Balance ,Daily Gain / Loss,Monthly Gain / Loss
1/10/24,3'000'000.00,-0.05,2'999'999.95,-0.00%,
1/11/24,2'999'999.95,1.08,3'000'001.03,0.00%,
1/12/24,3'000'001.03,0.48,3'000'001.51,0.00%,
1/16/24,3'000'001.51,4'668.21,3'004'669.72,0.16%,
1/17/24,3'004'669.72,126.28,3'004'796.00,0.00%,
1/18/24,3'004'796.00,20'332.28,3'025'128.28,0.68%,
1/19/24,3'025'128.28,14'839.17,3'039'967.45,0.49%,
1/22/24,3'039'967.45,-4'779.52,3'035'187.93,-0.16%,
1/23/24,3'035'187.93,5'433.26,3'040'621.19,0.18%,
1/24/24,3'040'621.19,16'319.81,3'056'941.00,0.54%,
1/25/24,3'056'941.00,-20'000.04,3'036'940.96,-0.65%,
1/26/24,3'036'940.96,-342.99,3'036'597.97,-0.01%,
1/29/24,3'036'597.97,10'249.46,3'046'847.43,0.34%,
1/30/24,3'046'847.43,-4'482.45,3'042'364.98,-0.15%,
1/31/24,3'042'364.98,-18'732.69,3'023'632.29,-0.62%,
End of Jan. 2024,,,,,0.79%
2/1/24,3'023'632.29,6'365.51,3'029'997.80,0.21%,
2/2/24,3'029'997.80,46'212.49,3'076'210.29,1.53%,
2/3/24,3'076'210.29,16'169.02,3'092'379.31,0.53%,
2/6/24,3'092'379.31,-5'939.97,3'086'439.34,-0.19%,
2/7/24,3'086'439.34,25'063.59,3'111'502.93,0.81%,
2/8/24,3'111'502.93,12'678.45,3'124'181.38,0.41%,
2/9/24,3'124'181.38,11'702.74,3'135'884.12,0.37%,
2/12/24,3'135'884.12,-16'185.75,3'119'698.37,-0.52%,
2/13/24,3'119'698.37,-1'605.97,3'118'092.40,-0.05%,
2/14/24,3'118'092.40,11'361.36,3'129'453.76,0.36%,
2/15/24,3'129'453.76,-2'851.18,3'126'602.58,-0.09%,
2/16/24,3'126'602.58,-2'285.05,3'124'317.53,-0.07%,
2/19/24,3'124'317.53,0.00,3'124'317.53,0.00%,
2/20/24,3'124'317.53,-18'452.95,3'105'864.58,-0.59%,
2/21/24,3'105'864.58,-4'318.31,3'101'546.27,-0.14%,
2/22/24,3'101'546.27,43'701.50,3'145'247.77,1.41%,
2/23/24,3'145'247.77,-5'559.88,3'139'687.89,-0.18%,
2/26/24,3'139'687.89,2'278.00,3'141'965.89,0.07%,
2/27/24,3'141'965.89,-6'652.13,3'135'313.76,-0.21%,
2/28/24,3'135'313.76,-5'157.69,3'130'156.07,-0.16%,
2/29/24,3'130'156.07,7'136.93,3'137'293.00,0.23%,
End of Feb. 2024,,,,,3.76%
3/1/24,3'137'293.00,23'636.75,3'160'929.75,0.75%,
3/4/24,3'160'929.75,-3'827.62,3'157'102.13,-0.12%,
3/5/24,3'157'102.13,-19'676.60,3'137'425.53,-0.62%,
3/6/24,3'137'425.53,8'123.99,3'145'549.52,0.26%,
3/7/24,3'145'549.52,26'923.72,3'172'473.24,0.86%,
3/8/24,3'172'473.24,-27'052.24,3'145'421.00,-0.85%,
3/11/24,3'145'421.00,-26'822.94,3'118'598.06,-0.85%,
3/12/24,3'118'598.06,27'079.22,3'145'677.28,0.87%,
3/13/24,3'145'677.28,-11'226.97,3'134'450.31,-0.36%,
3/14/24,3'134'450.31,-2'035.21,3'132'415.10,-0.06%,
3/15/24,3'132'415.10,-11'007.23,3'121'407.87,-0.35%,
3/18/24,3'121'407.87,13'974.81,3'135'382.68,0.45%,
3/19/24,3'135'382.68,-1'523.07,3'133'859.61,-0.05%,
3/20/24,3'133'859.61,12'706.78,3'146'566.39,0.41%,
3/21/24,3'146'566.39,3'235.65,3'149'802.04,0.10%,
3/22/24,3'149'802.04,15'119.38,3'164'921.42,0.48%,
3/25/24,3'164'921.42,-532.63,3'164'388.79,-0.02%,
3/26/24,3'164'388.79,-7'015.49,3'157'373.30,-0.22%,
3/27/24,3'157'373.30,-16'368.49,3'141'004.81,-0.52%,
